position,id,stepId,phase,name,url
1,STEP 0.1,0.1,0,AI 大模型可见度基准测试,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-0-1
2,STEP 0.2,0.2,0,全网信息健康度诊断,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-0-2
3,STEP 1.1,1.1,1,全量资质归档与负向信息治理,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-1-1
4,STEP 1.2,1.2,1,主体确权归一 · 实体唯一性锁定,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-1-2
5,STEP 1.3,1.3,1,NAP / CAP 全平台统一校准,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-1-3
6,STEP 1.4,1.4,1,全平台 POI 校准与地理语义强化,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-1-4
7,STEP 2.1,2.1,2,AI 爬虫访问权限审计与修复,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-2-1
8,STEP 2.2,2.2,2,llms.txt 部署（AI 专属索引）,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-2-2
9,STEP 2.3,2.3,2,页面速度与 Core Web Vitals 优化,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-2-3
10,STEP 3.1,3.1,3,Organization + LocalBusiness Schema 全面部署,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-3-1
11,STEP 3.2,3.2,3,产品 / 服务 / 专家页 Schema 实施,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-3-2
12,STEP 3.3,3.3,3,知识图谱 JSON-LD 构建,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-3-3
13,STEP 3.4,3.4,3,官网固定页面结构化改造,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-3-4
14,STEP 4.1,4.1,4,五层语义词库与用户需求挖掘,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-4-1
15,STEP 4.2,4.2,4,官方标准化知识库构建,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-4-2
16,STEP 4.3,4.3,4,主题聚类生产与实体语义强化,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-4-3
17,STEP 4.4,4.4,4,发布节律与持续更新机制,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-4-4
18,STEP 5.1,5.1,5,全平台企业号入驻与认证,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-5-1
19,STEP 5.2,5.2,5,百科词条建立与维护,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-5-2
20,STEP 5.3,5.3,5,口碑管理与真实评价体系,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-5-3
21,STEP 6.1,6.1,6,三层信源渠道分级建设,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-6-1
22,STEP 6.2,6.2,6,赚得媒体覆盖建设,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-6-2
23,STEP 6.3,6.3,6,品牌提及监控体系,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-6-3
24,STEP 7.1,7.1,7,多模型复测与语义缺口填补,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-7-1
25,STEP 7.2,7.2,7,全量降权风险清零排查,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-7-2
26,STEP 8.1,8.1,8,KPI 监测体系配置（12 项核心指标）,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-8-1
27,STEP 8.2,8.2,8,月度巡检 + 季度复盘 + 动态更新,https://yunxg.cn/pages/aigeo/geo-sop/index.html#step-8-2
